Source,Type,Status,Content,Policy Date,Link,Notes
Alamance,Driver's Education Course,Ambiguous,Website,,https://www.abss.k12.nc.us/page/driver-education,
Alamance,Other,Ambiguous,District Board Policy,1/14/2025,https://boardpolicyonline.com/bl/?b=alamance_burlington_new&s=653279,JROTC
Alamance,Sports,Ambiguous,District Board Policy,8/25/2025,https://boardpolicyonline.com/bl/?b=alamance_burlington_new&s=1036762,
Alamance,K-12 Dual Enrollment inCore Academic Classes,Ambiguous,District Board Policy,8/25/2025,https://boardpolicyonline.com/bl/?b=alamance_burlington_new&s=1036762,
Alamance,Extracurricular Activities,Ambiguous,District Board Policy,8/25/2025,https://boardpolicyonline.com/bl/?b=alamance_burlington_new&s=1036762,
Alexander,Driver's Education Course,Ambiguous,Website,,https://www.alexander.k12.nc.us/departments/driver-education,
Alexander,K-12 Dual Enrollment inCore Academic Classes,Ambiguous,District Board Policy,7/20/2021,https://www.boardpolicyonline.com/bl/?b=alexander&s=364277,
Alexander,Other,Ambiguous,District Board Policy,11/12/2024,https://www.boardpolicyonline.com/bl/?b=alexander&s=364267,JROTC
Alexander,Sports,Ambiguous,District Board Policy,11/12/2024,https://www.boardpolicyonline.com/bl/?b=alexander&s=364252,
Alexander,Extracurricular Activities,Ambiguous,District Board Policy,11/12/2024,https://www.boardpolicyonline.com/bl/?b=alexander&s=364252,
Anson,Other,Ambiguous,District Board Policy,10/28/2024,https://boardpolicyonline.com/bl/?b=anson&s=139254,JROTC
Anson,Sports,Ambiguous,District Board Policy,5/19/2025,https://boardpolicyonline.com/bl/?b=anson&s=371404,
Ashe,Driver's Education Course,Ambiguous,Website,,https://ashs.asheschools.org/for-students/drivers-education,
Ashe,Driver's Education Course,Ambiguous,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Ashe,Access to School Space,Ambiguous,District Board Policy,6/27/2002,https://www.boardpolicyonline.com/bl/?b=ashe_county&s=1901576,
Ashe,Driver's Education Course,Ambiguous,District Board Policy,6/27/2002,https://www.boardpolicyonline.com/bl/?b=ashe_county&s=1901576,
Ashe,Sports,Ambiguous,District Board Policy,6/27/2002,https://www.boardpolicyonline.com/bl/?b=ashe_county&s=1901576,
Asheboro City,Driver's Education Course,Ambiguous,Other,1/24/2015,https://www.asheboro.k12.nc.us/downloads/winter%20retreat%201-24-15%20packet.pdf,Board of Education Winter Retreat
Asheboro City,Driver's Education Course,Ambiguous,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Asheboro City,Other,Ambiguous,District Board Policy,8/13/2020,https://www.boardpolicyonline.com/bl/?b=asheboro_city&s=2039650,JROTC
Asheboro City,Extracurricular Activities,Ambiguous,District Board Policy,8/14/2025,https://www.boardpolicyonline.com/bl/?b=asheboro_city&s=1801602,
Asheboro City,Sports,Ambiguous,District Board Policy,8/14/2025,https://www.boardpolicyonline.com/bl/?b=asheboro_city&s=1801602,
Asheville City,Driver's Education Course,Exclusive,Other,,https://wresa.org/drivers-education-registration/,
Asheville City,Other,Ambiguous,District Board Policy,12/9/2024,https://www.boardpolicyonline.com/bl/?b=asheville_city&s=918488,JROTC
Asheville City,Extracurricular Activities,Ambiguous,District Board Policy,12/9/2024,https://www.boardpolicyonline.com/bl/?b=asheville_city&s=918488,
Asheville City,Sports,Ambiguous,District Board Policy,12/9/2024,https://www.boardpolicyonline.com/bl/?b=asheville_city&s=918488,
Avery,Other,Exclusive,District Board Policy,4/8/2025,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3480/ACS/5526682/Clean_4_8_25_4120-Domicile_or_Residence_Requirements.pdf,JROTC
Avery,Sports,Exclusive,District Board Policy,7/15/2025,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3480/ACS/5883651/Clean_8_15_25_3620_Extra_Curricular_Activities_and_Student_Organizations_copy.pdf,
Avery,Extracurricular Activities,Exclusive,District Board Policy,7/15/2025,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3480/ACS/5883651/Clean_8_15_25_3620_Extra_Curricular_Activities_and_Student_Organizations_copy.pdf,
Beaufort,Driver's Education Course,Exclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Beaufort,Eligibility Determination/IEP/504 Evaluation,Exclusive,Website,,https://www.beaufort.k12.nc.us/departments/curriculum-and-instruction/exceptional-children/project-child-find,
Beaufort,Other,Exclusive,District Board Policy,2/3/2025,https://www.boardpolicyonline.com/bl/?b=beaufort_nc&s=1413268,JROTC
Beaufort,Sports,Exclusive,District Board Policy,2/3/2025,https://www.boardpolicyonline.com/bl/?b=beaufort_nc&s=1413255,
Bertie,Driver's Education Course,Exclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Bertie,Other,Exclusive,District Board Policy,1/14/2025,https://boardpolicyonline.com/bl/?b=bertie_county&s=139620,JROTC
Bertie,Sports,Exclusive,District Board Policy,8/12/2025,https://boardpolicyonline.com/bl/?b=bertie_county&s=139602,
Bladen,Driver's Education Course,Exclusive,Website,1/1/2021,https://resources.finalsite.net/images/v1683284906/bladenk12ncus/wwnlt1rdqz8bqxfmx3wx/DriverEducationClassEligibility.pdf,
Bladen,Other,Exclusive,District Board Policy,1/13/2025,https://www.boardpolicyonline.com/bl/?b=bladen&s=141179,JROTC
Bladen,Sports,Exclusive,District Board Policy,1/13/2025,https://www.boardpolicyonline.com/bl/?b=bladen&s=141161,
Brunswick,Driver's Education Course,Exclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Brunswick,Driver's Education Course,Exclusive,Website,,https://www.bcswan.net/students/drivers-education,
Brunswick,Hearing or Vision Screening,Exclusive,District Board Policy,7/6/2023,https://boardpolicyonline.com/bl/?b=brunswick&s=141517,
Brunswick,K-12 Dual Enrollment inCore Academic Classes,Exclusive,District Board Policy,7/6/2023,https://boardpolicyonline.com/bl/?b=brunswick&s=141517,
Brunswick,Sports,Exclusive,District Board Policy,8/19/2025,https://boardpolicyonline.com/bl/?b=brunswick&s=141559,
Buncombe,Driver's Education Course,Exclusive,Other,,https://wresa.org/drivers-education-registration/,
Buncombe,Sports,Exclusive,District Board Policy,6/27/2024,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3100/BCS/4579430/3620_Extracurricular_Activites_and_Student_Organizations.pdf,
Buncombe,K-12 Dual Enrollment inCore Academic Classes,Exclusive,District Board Policy,6/27/2024,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3100/BCS/4579430/3620_Extracurricular_Activites_and_Student_Organizations.pdf,
Burke,Driver's Education Course,Inclusive,Website,,https://www.burke.k12.nc.us/curricululm-instruction/drivers-education/faq,
Burke,Extracurricular Activities,Exclusive,District Board Policy,6/24/2024,https://www.boardpolicyonline.com/bl/?b=burke&s=1403636,only middle and high school
Burke,K-12 Dual Enrollment inCore Academic Classes,Exclusive,District Board Policy,6/24/2024,https://www.boardpolicyonline.com/bl/?b=burke&s=1403636,only middle and high school
Burke,Other,Exclusive,District Board Policy,1/27/2025,https://www.boardpolicyonline.com/bl/?b=burke&s=1403627,JROTC
Burke,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/27/2025,https://www.boardpolicyonline.com/bl/?b=burke&s=1403615,
Burke,Sports,Inclusive,District Board Policy,1/27/2025,https://www.boardpolicyonline.com/bl/?b=burke&s=1403615,
Cabarrus,Driver's Education Course,Inclusive,Website,,https://www.cabarrus.k12.nc.us/7176_3,
Cabarrus,Driver's Education Course,Inclusive,Website,,https://www.cabarrus.k12.nc.us/6923_3,
Cabarrus,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.cabarrus.k12.nc.us/1626_3,
Cabarrus,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.cabarrus.k12.nc.us/44970_3,
Cabarrus,Other,Inclusive,District Board Policy,1/13/2025,https://boardpolicyonline.com/bl/?b=cabarrus&s=141971,JROTC
Cabarrus,Other Special Needs Services,Inclusive,Website,,https://www.cabarrus.k12.nc.us/7000_3,
Caldwell,Driver's Education Course,Inclusive,Website,,https://www.fkchestnutdrivingacademy.com/caldwell-county-sign-ups,
Caldwell,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.caldwellschools.com/44539_3,
Caldwell,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,5/8/2023,https://boardpolicyonline.com/bl/?b=caldwell_county&s=231347,
Caldwell,Extracurricular Activities,Inclusive,District Board Policy,5/8/2023,https://boardpolicyonline.com/bl/?b=caldwell_county&s=195161,
Caldwell,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,5/8/2023,https://boardpolicyonline.com/bl/?b=caldwell_county&s=195161,
Caldwell,Sports,Inclusive,District Board Policy,5/8/2023,https://boardpolicyonline.com/bl/?b=caldwell_county&s=195161,
Caldwell,Other,Inclusive,District Board Policy,1/7/2025,https://boardpolicyonline.com/bl/?b=caldwell_county&s=195173,JROTC
Caldwell,Sports,Inclusive,District Board Policy,8/11/2025,https://boardpolicyonline.com/bl/?b=caldwell_county&s=195160,
Caldwell,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/11/2025,https://boardpolicyonline.com/bl/?b=caldwell_county&s=195160,
Camden,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Camden,Other,Inclusive,District Board Policy,1/9/2025,https://boardpolicyonline.com/?b=camden&s=142328,JROTC
Camden,Sports,Inclusive,District Board Policy,8/14/2025,https://boardpolicyonline.com/?b=camden&s=142311,
Camden,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/14/2025,https://boardpolicyonline.com/?b=camden&s=142311,
Carteret,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Carteret,Other,Inclusive,District Board Policy,12/3/2024,https://www.boardpolicyonline.com/bl/?b=carteret&s=988066,JROTC
Caswell,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Caswell,Other,Inclusive,District Board Policy,10/14/2024,https://www.boardpolicyonline.com/bl/?b=caswell_new&s=1321999,JROTC
Caswell,Sports,Inclusive,District Board Policy,6/10/2025,https://www.boardpolicyonline.com/bl/?b=caswell_new&s=1329783,
Caswell,Sports,Inclusive,Website,12/9/2024,https://resources.finalsite.net/images/v1733950293/caswellk12ncus/qy2rs2klcin9czatosql/HomeSchoolStudentsSports.pdf,
Catawba,Driver's Education Course,Inclusive,Website,,https://www.catawbaschools.net/212741_2,
Chapel Hill-Carrboro City,Driver's Education Course,Inclusive,Website,,https://www.jdscarolinas.com/chcc-booking-2,
Chapel Hill-Carrboro City,Extracurricular Activities,Inclusive,District Board Policy,9/3/2020,https://boardpolicyonline.com/bl/?b=chaphill&s=142592,
Chapel Hill-Carrboro City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,9/3/2020,https://boardpolicyonline.com/bl/?b=chaphill&s=142592,
Chapel Hill-Carrboro City,Sports,Inclusive,District Board Policy,9/3/2020,https://boardpolicyonline.com/bl/?b=chaphill&s=142592,
Charlotte-Mecklenburg,Driver's Education Course,Inclusive,Website,,https://www.cmsk12.org/student-planning-placement-programs/school-programs/driver-education,
Charlotte-Mecklenburg,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.cmsk12.org/learning-teaching/exceptional-children/ec-services-in-cms/privatehome-school-evaluations,
Charlotte-Mecklenburg,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.cmsk12.org/learning-teaching/exceptional-children/ec-services-in-cms/child-find-accessing-ec-services,
Chatham,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Chatham,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,1/26/2024,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4334/CCS/4015771/Child_Find.pdf,
Chatham,Other,Inclusive,District Board Policy,12/9/2024,https://boardpolicyonline.com/bl/?b=chatham_nc&s=136059,JROTC
Chatham,Sports,Inclusive,District Board Policy,6/2/2025,https://boardpolicyonline.com/bl/?b=chatham_nc&s=136051,
Cherokee,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Cherokee,Other,Inclusive,District Board Policy,8/15/2024,https://4.files.edl.io/130d/08/19/24/124903-52f6fa60-771d-4873-bcfb-212155f7e241.pdf,"""Homeschool students are not eligible for consideration of academic honors"""
Cherokee,Other,Inclusive,District Board Policy,12/9/2021,https://4.files.edl.io/c8d0/12/10/21/123030-1b645345-3a78-41de-ab3d-160e168c2ec1.pdf,JROTC
Cherokee,Sports,Inclusive,District Board Policy,2/6/2025,https://4.files.edl.io/5294/07/30/25/123232-d0f1c63e-8d10-41cb-a117-5419a12b927a.pdf,
Cherokee,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,2/6/2025,https://4.files.edl.io/5294/07/30/25/123232-d0f1c63e-8d10-41cb-a117-5419a12b927a.pdf,
Clay,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Clay,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://drive.google.com/file/d/1Qoc0_eK1LQuoRpEMiaUhIKxlfh24Isdk/view,
Clay,Other,Inclusive,District Board Policy,10/8/2024,https://boardpolicyonline.com/bl/?b=clay&s=143378,JROTC
Clay,Sports,Inclusive,District Board Policy,4/19/2025,https://boardpolicyonline.com/bl/?b=clay&s=143361,
Cleveland,Other,Inclusive,District Board Policy,3/10/2025,https://go.boarddocs.com/nc/ccs/Board.nsf/goto?open&id=CGFVUJ8272AF,class ranking
Cleveland,Sports,Inclusive,District Board Policy,9/9/2024,https://go.boarddocs.com/nc/ccs/Board.nsf/goto?open&id=CGFRPQ6EFE5E,
Cleveland,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,9/9/2024,https://go.boarddocs.com/nc/ccs/Board.nsf/goto?open&id=CGFRPQ6EFE5E,
Clinton City,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Clinton City,Other,Inclusive,District Board Policy,1/27/2025,https://boardpolicyonline.com/bl/?b=clinton_city&s=145614,JROTC
Clinton City,Sports,Inclusive,District Board Policy,1/27/2025,https://boardpolicyonline.com/bl/?b=clinton_city&s=145597,
Columbus,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Columbus,Sports,Inclusive,District Board Policy,7/14/2025,https://boardpolicyonline.com/bl/?b=columbus&s=145981,
Columbus,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/14/2025,https://boardpolicyonline.com/bl/?b=columbus&s=145981,
Craven,Driver's Education Course,Inclusive,"District Board Policy, Website",,https://www.cravenk12.org/student-life/driver-s-education,
Craven,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.cravenk12.org/academics/exceptional-children-s-services/eligibility-for-services,
Craven,Other,Inclusive,District Board Policy,11/14/2024,https://boardpolicyonline.com/bl/?b=craven&s=143667,JROTC
Craven,Sports,Inclusive,District Board Policy,11/14/2024,https://boardpolicyonline.com/bl/?b=craven&s=194877,
Craven,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,11/14/2024,https://boardpolicyonline.com/bl/?b=craven&s=194877,
Craven,Sports,Inclusive,District Board Policy,3/17/2022,https://boardpolicyonline.com/bl/?b=craven&s=679226,
Craven,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,3/17/2022,https://boardpolicyonline.com/bl/?b=craven&s=679226,
Cumberland,Driver's Education Course,Inclusive,Website,,https://www.ccs.k12.nc.us/page/registration,
Cumberland,Sports,Inclusive,District Board Policy,10/15/2024,https://boardpolicyonline.com/bl/?b=cumberland&s=1875680,
Cumberland,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,10/15/2024,https://boardpolicyonline.com/bl/?b=cumberland&s=1875680,
Cumberland,Sports,Inclusive,Website,,https://www.ccs.k12.nc.us/page/home-school-rules,
Cumberland,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.ccs.k12.nc.us/page/home-school-rules,
Currituck,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Currituck,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,12/3/2015,https://boardpolicyonline.com/?b=currituck&s=146426,
Currituck,Sports,Inclusive,District Board Policy,7/15/2025,https://boardpolicyonline.com/?b=currituck&s=146396,
Dare,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Dare,Driver's Education Course,Inclusive,Website,,https://www.daretolearn.org/resources/administrative-services/driver-education,
Dare,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,2/13/2023,https://www.boardpolicyonline.com/bl/?b=dare_county&s=834650,regarding attendance recording while dual enrolled
Dare,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/14/2023,https://www.boardpolicyonline.com/bl/?b=dare_county&s=834549,
Dare,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/30/2023,https://www.boardpolicyonline.com/bl/?b=dare_county&s=1423460,
Dare,Other,Inclusive,District Board Policy,6/9/2025,https://www.boardpolicyonline.com/bl/?b=dare_county&s=834604,JROTC
Dare,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,2/13/2023,https://www.boardpolicyonline.com/bl/?b=dare_county&s=834550,dual enrolled students for athletics must take at least one on-campus class per semester (online only does not suffice)
Dare,Sports,Inclusive,District Board Policy,2/13/2023,https://www.boardpolicyonline.com/bl/?b=dare_county&s=834550,dual enrolled students for athletics must take at least one on-campus class per semester (online only does not suffice)
Dare,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/9/2025,https://www.boardpolicyonline.com/bl/?b=dare_county&s=834590,
Dare,Sports,Inclusive,District Board Policy,6/9/2025,https://www.boardpolicyonline.com/bl/?b=dare_county&s=834590,
Davidson,Driver's Education Course,Inclusive,Website,,https://cms.davidson.k12.nc.us/apps/pages/index.jsp?uREC_ID=800284&type=d&pREC_ID=1601808,
Davidson,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.davidson.k12.nc.us/apps/pages/index.jsp?uREC_ID=800308&type=d&pREC_ID=1189820,
Davidson,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,9/3/2024,https://drive.google.com/file/d/1v0hyEGjyuTrOWkDvJIGMCFsV-9z0Q1Vm/view,
Davidson,Sports,Inclusive,District Board Policy,9/3/2024,https://drive.google.com/file/d/1v0hyEGjyuTrOWkDvJIGMCFsV-9z0Q1Vm/view,
Davie,Other,Inclusive,District Board Policy,3/4/2025,https://boardpolicyonline.com/?b=davie&s=146784,JROTC
Davie,Sports,Inclusive,District Board Policy,3/4/2025,https://boardpolicyonline.com/?b=davie&s=146773,
Davie,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,3/4/2025,https://boardpolicyonline.com/?b=davie&s=146773,
Duplin,Other,Inclusive,District Board Policy,1/14/2025,https://boardpolicyonline.com/bl/?b=duplin&s=147122,JROTC
Duplin,Sports,Inclusive,District Board Policy,7/1/2025,https://boardpolicyonline.com/bl/?b=duplin&s=147104,
Durham,Driver's Education Course,Inclusive,Website,,https://www.dpsnc.net/page/non-dps-student-registration,
Durham,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/24/2021,https://go.boarddocs.com/nc/dpsnc/Board.nsf/goto?open&id=CCMLMA573249,
Durham,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.dpsnc.net/o/igniteacademy/article/2382463,
Durham,Other,Inclusive,District Board Policy,10/20/2022,https://go.boarddocs.com/nc/dpsnc/Board.nsf/goto?open&id=CB8TPM771A43,JROTC
Durham,Sports,Inclusive,District Board Policy,8/22/2024,https://go.boarddocs.com/nc/dpsnc/Board.nsf/goto?open&id=C9NQ476771BE,
Edenton-Chowan,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Edenton-Chowan,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,9/13/2022,https://boardpolicyonline.com/bl/?b=edenton_chowan_old&s=1345924,
Edenton-Chowan,Other,Inclusive,District Board Policy,2/6/2024,https://boardpolicyonline.com/bl/?b=edenton_chowan_old&s=147504,JROTC
Edenton-Chowan,Sports,Inclusive,District Board Policy,5/12/2020,https://boardpolicyonline.com/bl/?b=edenton_chowan_old&s=147495,
Edenton-Chowan,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,5/12/2020,https://boardpolicyonline.com/bl/?b=edenton_chowan_old&s=147495,
Edgecombe,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Edgecombe,Other,Inclusive,District Board Policy,2/10/2025,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/4711/Ecs/e33b7f0d-697c-4e0f-924a-b6d3706e15d5/4120_Domicile_or_Residence_Requirements.pdf?disposition=inline,JROTC
Edgecombe,Sports,Inclusive,District Board Policy,2/10/2025,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/4711/Ecs/7b397057-a9d7-4c60-8f1d-ce76f1d7dbb2/3620_Extracurricular_Activities_and_Student_Or.pdf?disposition=inline,They have not accepted a clear policy and still have the boilerplate options present.
Edgecombe,Sports,Inclusive,District Board Policy,2/10/2025,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/4711/Ecs/7b397057-a9d7-4c60-8f1d-ce76f1d7dbb2/3620_Extracurricular_Activities_and_Student_Or.pdf?disposition=inline,They have not accepted a clear policy and still have the boilerplate options present.
Elizabeth City-Pasquotank,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Elizabeth City-Pasquotank,Other,Inclusive,District Board Policy,12/16/2024,https://boardpolicyonline.com/bl/?b=elizabeth_city&s=147806,JROTC
Elizabeth City-Pasquotank,Sports,Inclusive,District Board Policy,12/16/2024,https://boardpolicyonline.com/bl/?b=elizabeth_city&s=147789,
Elizabeth City-Pasquotank,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,12/16/2024,https://boardpolicyonline.com/bl/?b=elizabeth_city&s=147789,
Elkin,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Elkin,Driver's Education Course,Inclusive,Website,,https://ehs.elkincityschools.org/apps/pages/index.jsp?uREC_ID=2769696&type=d&pREC_ID=2303804,
Elkin,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/2/2018,http://www.elkin.k12.nc.us/ems/ECSPolicies/4130-R.pdf,only middle and high school
Elkin,Other,Inclusive,District Board Policy,12/9/2024,http://www.elkin.k12.nc.us/ems/ECSPolicies/4120.pdf,JROTC
Elkin,Sports,Inclusive,District Board Policy,1/27/2025,http://www.elkin.k12.nc.us/ems/ECSPolicies/3620.pdf,
Elkin,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/27/2025,http://www.elkin.k12.nc.us/ems/ECSPolicies/3620.pdf,
Franklin,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.fcschools.net/departments/exceptional-children-student-services,"""homeschooling"" contact under the Staff tab"
Franklin,Other,Inclusive,District Board Policy,3/14/2022,https://www.boardpolicyonline.com/bl/?b=franklin&s=448940,JROTC
Franklin,Sports,Inclusive,District Board Policy,6/10/2024,https://www.boardpolicyonline.com/bl/?b=franklin&s=448927,
Franklin,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/10/2024,https://www.boardpolicyonline.com/bl/?b=franklin&s=448927,
