Source,Type,Status,Content,Policy Date,Link,Notes
Gaston,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Gaston,Driver's Education Course,Inclusive,Website,,https://www.gaston.k12.nc.us/departments/back-to-school-information/driver-education,
Gaston,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.gaston.k12.nc.us/academics/exceptional-children/child-find,
Gaston,Other,Inclusive,District Board Policy,6/20/2022,https://boardpolicyonline.com/?b=gaston&s=153171,JROTC
Gaston,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/19/2019,https://boardpolicyonline.com/?b=gaston&s=755374,
Gaston,Sports,Inclusive,District Board Policy,8/19/2019,https://boardpolicyonline.com/?b=gaston&s=755374,
Gaston,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,11/21/2022,https://boardpolicyonline.com/?b=gaston&s=153150,
Gaston,Sports,Inclusive,District Board Policy,11/21/2022,https://boardpolicyonline.com/?b=gaston&s=153150,
Gates,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Gates,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/5/2023,https://boardpolicyonline.com/?b=gates&s=153515,
Gates,Other,Inclusive,District Board Policy,2/6/2025,https://boardpolicyonline.com/?b=gates&s=153569,JROTC
Gates,Sports,Inclusive,District Board Policy,7/14/2025,https://boardpolicyonline.com/?b=gates&s=153552,
Gates,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/14/2025,https://boardpolicyonline.com/?b=gates&s=153552,
Graham,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Graham,Other,Inclusive,District Board Policy,12/7/2021,https://docs.google.com/document/d/1FW4WthAI00DDLzMmBITA0ekdEmKsjeA7/edit?tab=t.0,"Policy Code: 4120, JROTC"
Graham,Sports,Inclusive,District Board Policy,11/2/2021,https://drive.google.com/drive/folders/0B6dQShi3l4b6d0VhS2lBYVdtQUU?resourcekey=0-9Ipud6KFb-6St6ryZ45h8g,Policy Code: 3620
Graham,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,11/2/2021,https://drive.google.com/drive/folders/0B6dQShi3l4b6d0VhS2lBYVdtQUU?resourcekey=0-9Ipud6KFb-6St6ryZ45h8g,Policy Code: 3620
Granville,Other,Inclusive,District Board Policy,12/18/2023,https://boardpolicyonline.com/?b=granville&s=153966,JROTC
Granville,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,9/9/2024,https://boardpolicyonline.com/?b=granville&s=153945,
Granville,Sports,Inclusive,District Board Policy,9/9/2024,https://boardpolicyonline.com/?b=granville&s=153945,
Greene,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.gcsedu.org/en-US/exceptional-children-504-aig-723f82c1/exceptional-children-6ab1198b/child-find-c122597a,
Greene,Sports,Inclusive,District Board Policy,1/24/2022,https://drive.google.com/file/d/1Bm1Xxs1D2Z_p-xx2Qi6EDVOwIHI1Z2Lm/view,
Greene,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/24/2022,https://drive.google.com/file/d/1Bm1Xxs1D2Z_p-xx2Qi6EDVOwIHI1Z2Lm/view,
Guilford,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Guilford,Driver's Education Course,Inclusive,Website,,https://www.gcsnc.com/families/beyond-the-classroom/activities-arts-athletics/drivers-education,
Guilford,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.gcsnc.com/choose-and-enroll/gcs-flex,
Guilford,Sports,Inclusive,Website,,https://www.gcsnc.com/choose-and-enroll/gcs-flex,
Guilford,Extracurricular Activities,Inclusive,Website,,https://www.gcsnc.com/choose-and-enroll/gcs-flex,
Halifax,Other,Inclusive,District Board Policy,1/6/2025,https://boardpolicyonline.com/bl/?b=halifax&s=154330,JROTC
Halifax,Sports,Inclusive,District Board Policy,8/4/2025,https://boardpolicyonline.com/bl/?b=halifax&s=154312,
Halifax,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/4/2025,https://boardpolicyonline.com/bl/?b=halifax&s=154312,
Harnett,Driver's Education Course,Inclusive,Other,2/11/2025,https://docs.google.com/document/d/11MgQOfEyBhHr-6n_kpqCU6sg4QcN7QSfWEQIttjAjf4/edit?tab=t.0#heading=h.gjdgxs,
Harnett,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.harnett.k12.nc.us/page/child-find,
Harnett,Other,Inclusive,District Board Policy,11/4/2024,https://boardpolicyonline.com/bl/?b=harnett&s=154725,JROTC
Harnett,Sports,Inclusive,District Board Policy,5/5/2025,https://boardpolicyonline.com/bl/?b=harnett&s=154708,
Haywood,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Haywood,Other,Inclusive,District Board Policy,7/1/2021,https://downloads.microscribepub.com/nc/haywood/4120-R_20210702.pdf,JROTC
Haywood,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/12/2024,https://www.boardpolicyonline.com/bl/?b=haywood_county&s=1492488,
Haywood,Sports,Inclusive,District Board Policy,8/12/2024,https://www.boardpolicyonline.com/bl/?b=haywood_county&s=1492488,
Henderson,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Henderson,Other,Inclusive,District Board Policy,5/10/2022,https://www.boardpolicyonline.com/bl/?b=henderson_county&s=1283663,class ranking recording of homeschool credits
Henderson,Other,Inclusive,District Board Policy,11/18/2024,https://www.boardpolicyonline.com/bl/?b=henderson_county&s=423662,JROTC
Henderson,Sports,Inclusive,District Board Policy,8/4/2025,https://www.boardpolicyonline.com/bl/?b=henderson_county&s=403487,
Henderson,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/4/2025,https://www.boardpolicyonline.com/bl/?b=henderson_county&s=403487,
Hertford,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Hertford,Other,Inclusive,District Board Policy,12/16/2024,https://boardpolicyonline.com/bl/?b=hertford&s=155132,JROTC
Hertford,Other,Inclusive,District Board Policy,11/10/2015,https://boardpolicyonline.com/bl/?b=hertford&s=155103,class ranking does include homeschool grades
Hertford,Sports,Inclusive,District Board Policy,7/28/2025,https://boardpolicyonline.com/bl/?b=hertford&s=155115,
Hertford,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/28/2025,https://boardpolicyonline.com/bl/?b=hertford&s=155115,
Hickory,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Hickory,Other,Inclusive,District Board Policy,6/10/2024,https://boardpolicyonline.com/bl/?b=hickory_new&s=159941,JROTC
Hickory,Sports,Inclusive,District Board Policy,8/11/2025,https://boardpolicyonline.com/bl/?b=hickory_new&s=1414908,
Hickory,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/11/2025,https://boardpolicyonline.com/bl/?b=hickory_new&s=1414908,
Hoke,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Hoke,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,4/16/2024,https://www.boardpolicyonline.com/bl/?b=hoke_county&s=1980985,
Hoke,Other,Inclusive,District Board Policy,7/8/2025,https://www.boardpolicyonline.com/bl/?b=hoke_county&s=1897872,"part-time enrolled homeschooler will not get a public school diploma, it must come from the registered homeschool."
Hoke,Other,Inclusive,District Board Policy,,https://www.boardpolicyonline.com/bl/?b=hoke_county&s=1897894,"JROTC, no adopted date"
Hyde,Other,Inclusive,District Board Policy,1/14/2025,https://boardpolicyonline.com/bl/?b=hyde&s=155521,JROTC
Hyde,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/14/2025,https://boardpolicyonline.com/bl/?b=hyde&s=155502,They have not accepted a clear policy and still have the boilerplate options present.
Hyde,Sports,Inclusive,District Board Policy,1/14/2025,https://boardpolicyonline.com/bl/?b=hyde&s=155502,They have not accepted a clear policy and still have the boilerplate options present.
Iredell-Statesville,Driver's Education Course,Inclusive,Website,,https://www.issnc.org/about/departments/drivers-ed,
Iredell-Statesville,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.issnc.org/about/departments/ec/about-us,
Iredell-Statesville,Other Special Needs Services,Inclusive,Website,,https://www.issnc.org/about/departments/ec/about-us,
Iredell-Statesville,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.issnc.org/about/choice-programs/iacademy,
Iredell-Statesville,Extracurricular Activities,Inclusive,Website,,https://www.issnc.org/about/choice-programs/iacademy,
Iredell-Statesville,Other,Inclusive,District Board Policy,12/9/2024,https://boardpolicyonline.com/bl/?b=iredell&s=155933,JROTC
Iredell-Statesville,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/11/2025,https://boardpolicyonline.com/bl/?b=iredell&s=155911,
Iredell-Statesville,Sports,Inclusive,District Board Policy,8/11/2025,https://boardpolicyonline.com/bl/?b=iredell&s=155911,
Jackson,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Jackson,Other,Inclusive,District Board Policy,5/24/2022,https://boardpolicyonline.com/bl/?b=jackson&s=156322,JROTC
Jackson,Sports,Inclusive,District Board Policy,6/24/2025,https://boardpolicyonline.com/bl/?b=jackson&s=156302,
Jackson,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/24/2025,https://boardpolicyonline.com/bl/?b=jackson&s=156302,
Johnston,Driver's Education Course,Inclusive,Website,,https://www.johnston.k12.nc.us/o/jceca/page/drivers-education-information,
Johnston,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,9/6/2024,https://boardpolicyonline.com/bl/?b=johnston_new&s=1401642,
Johnston,Other,Inclusive,District Board Policy,1/15/2025,https://boardpolicyonline.com/bl/?b=johnston_new&s=1232409,JROTC
Johnston,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/15/2025,https://boardpolicyonline.com/bl/?b=johnston_new&s=1207308,
Johnston,Sports,Inclusive,District Board Policy,1/15/2025,https://boardpolicyonline.com/bl/?b=johnston_new&s=1207308,
Jones,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Jones,Driver's Education Course,Inclusive,Website,,https://www.jonesnc.net/article/1929328,
Jones,Other,Inclusive,District Board Policy,11/4/2024,https://go.boarddocs.com/nc/jonesnc/Board.nsf/goto?open&id=DACLTN582216,JROTC
Jones,Sports,Inclusive,District Board Policy,5/5/2025,https://go.boarddocs.com/nc/jonesnc/Board.nsf/goto?open&id=DGMLEZ5646F3,They have not accepted a clear policy and still have the boilerplate options present.
Jones,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,5/5/2025,https://go.boarddocs.com/nc/jonesnc/Board.nsf/goto?open&id=DGMLEZ5646F3,They have not accepted a clear policy and still have the boilerplate options present.
Kannapolis City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/26/2023,https://www.boardpolicyonline.com/bl/?b=kannapolis_cs&s=682010,
Kannapolis City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/26/2023,https://www.boardpolicyonline.com/bl/?b=kannapolis_cs&s=1539521,
Kannapolis City,Other,Inclusive,District Board Policy,2/14/2022,https://www.boardpolicyonline.com/bl/?b=kannapolis_cs&s=759048,JROTC
Kannapolis City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/27/2024,https://www.boardpolicyonline.com/bl/?b=kannapolis_cs&s=727872,
Kannapolis City,Sports,Inclusive,District Board Policy,6/27/2024,https://www.boardpolicyonline.com/bl/?b=kannapolis_cs&s=727872,
Lee,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.lee.k12.nc.us/page/ec,
Lee,Other,Inclusive,District Board Policy,10/1/2022,https://boardpolicyonline.com/bl/?b=lee&s=157986,JROTC
Lenoir,Driver's Education Course,Inclusive,Website,,https://www.lcpsnc.org/students-parents/driver-education,
Lenoir,Other,Inclusive,District Board Policy,3/28/2022,https://go.boarddocs.com/nc/lenoir/Board.nsf/goto?open&id=9FZNW75A1CB7,JROTC
Lenoir,Sports,Inclusive,Website,,https://www.lcpsnc.org/students-parents/athletics/eligibility-requirements,
Lexington City,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Lexington City,Driver's Education Course,Inclusive,Website,,https://www.lexcs.org/page/information,
Lexington City,Other,Inclusive,District Board Policy,4/1/2025,https://lexcs.diligent.community/home/policies/policydoc/b37d50f8-2096-402c-8938-07e2d272e27b,JROTC
Lexington City,Sports,Inclusive,District Board Policy,1/14/2020,https://lexcs.diligent.community/home/policies/policydoc/ec1b12bd-02da-4ff1-b742-5e6863652e4d,
Lexington City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/14/2020,https://lexcs.diligent.community/home/policies/policydoc/ec1b12bd-02da-4ff1-b742-5e6863652e4d,
Lincoln,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Lincoln,Driver's Education Course,Inclusive,Website,,https://www.lincoln.k12.nc.us/page/drivers-education,
Lincoln,Other,Inclusive,District Board Policy,7/12/2022,https://boardpolicyonline.com/bl/?b=lincoln&s=158478,JROTC
Lincoln,Sports,Inclusive,District Board Policy,5/13/2025,https://boardpolicyonline.com/bl/?b=lincoln&s=158458,
Macon,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Macon,Driver's Education Course,Inclusive,Other,,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3129/Mcs/e9c0104e-9117-4098-afa9-1245a09ab5bf/Macon-County-Schools-Drivers-Education-Program.pdf?disposition=inline,
Macon,Other,Inclusive,District Board Policy,8/21/2023,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3129/Mcs/03c68c5f-c6a6-49f6-8f30-5a035f38c7a3/4120.pdf?disposition=inline,JROTC
Macon,Sports,Inclusive,District Board Policy,10/25/2021,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3129/Mcs/b6b36fb1-e507-450e-abc0-df5ab180dc7f/3620.pdf?disposition=inline,
Macon,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,10/25/2021,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3129/Mcs/b6b36fb1-e507-450e-abc0-df5ab180dc7f/3620.pdf?disposition=inline,
Madison,Other,Inclusive,District Board Policy,6/23/2025,https://www.boardpolicyonline.com/bl/?b=madison&s=224022,JROTC
Madison,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/23/2025,https://www.boardpolicyonline.com/bl/?b=madison&s=224020,
Madison,Sports,Inclusive,District Board Policy,6/23/2025,https://www.boardpolicyonline.com/bl/?b=madison&s=224020,
Martin,Driver's Education Course,Inclusive,Website,,https://www.martin.k12.nc.us/page/drivered2324,
Martin,Sports,Inclusive,District Board Policy,12/2/2019,https://www.boardpolicyonline.com/bl/?b=martin_county&s=1549320,
Martin,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,12/2/2019,https://www.boardpolicyonline.com/bl/?b=martin_county&s=1549320,
McDowell,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
McDowell,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.mcdowell.k12.nc.us/mcdowell-connect/about-us/mcdowell-connect-program-overview,
McDowell,Other,Inclusive,District Board Policy,3/10/2025,https://campussuite-storage.s3.amazonaws.com/prod/1559039/252d940a-b7a2-11ea-a606-121cb31c8405/2926016/3db49738-ff48-11ef-9ef2-0a58a9feac02/file/4120%20Domicile%20or%20Residence%20Requirements%203.10.25.pdf,JROTC
McDowell,Sports,Inclusive,Website,,https://www.mcdowell.k12.nc.us/mcdowell-connect/activities/index,
McDowell,Sports,Inclusive,District Board Policy,8/11/2025,https://campussuite-storage.s3.amazonaws.com/prod/1559039/252d940a-b7a2-11ea-a606-121cb31c8405/2999374/56b5e01a-82b6-11f0-9dbe-0affc8c049ad/file/3620%20Extracurricular%20Activities%20and%20Student%20Organizations%208.11.25.pdf,
McDowell,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/11/2025,https://campussuite-storage.s3.amazonaws.com/prod/1559039/252d940a-b7a2-11ea-a606-121cb31c8405/2999374/56b5e01a-82b6-11f0-9dbe-0affc8c049ad/file/3620%20Extracurricular%20Activities%20and%20Student%20Organizations%208.11.25.pdf,
Mitchell,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Mitchell,Eligibility Determination/IEP/504 Evaluation,Inclusive,Other,,https://docs.google.com/document/d/1QxO8AcILyjoCaoxzqpzCgi3ozKS4bdY896RpI6LtiLE/edit?tab=t.0,
Mitchell,Other Special Needs Services,Inclusive,Other,,https://docs.google.com/document/d/1QxO8AcILyjoCaoxzqpzCgi3ozKS4bdY896RpI6LtiLE/edit?tab=t.0,
Mitchell,Sports,Inclusive,District Board Policy,10/10/2019,https://boardpolicyonline.com/?b=mitchell&s=1096724,
Mitchell,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,10/10/2019,https://boardpolicyonline.com/?b=mitchell&s=1096724,
Mitchell,Sports,Inclusive,District Board Policy,5/15/2025,https://boardpolicyonline.com/?b=mitchell&s=159045,
Mitchell,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,5/15/2025,https://boardpolicyonline.com/?b=mitchell&s=159045,
Montgomery,Other,Inclusive,District Board Policy,7/18/2022,https://resources.finalsite.net/images/v1724969404/montgomeryk12ncus/eut7fk5khog7md8lplou/4120-domicileorresidencyrequirementsapprovedweb.pdf,JROTC
Montgomery,Sports,Inclusive,District Board Policy,6/2/2025,https://resources.finalsite.net/images/v1750266126/montgomeryk12ncus/dkrkqdigwmtvlemfp0me/ExtracurricularActivitiesandStudentOrganizations3620.pdf,
Montgomery,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/2/2025,https://resources.finalsite.net/images/v1750266126/montgomeryk12ncus/dkrkqdigwmtvlemfp0me/ExtracurricularActivitiesandStudentOrganizations3620.pdf,
Moore,Driver's Education Course,Inclusive,Website,,https://www.ncmcs.org/students/driver_education/driver_education_faq,
Moore,Extracurricular Activities,Inclusive,Website,,https://sites.google.com/ncmcs.org/blended/home,
Moore,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://sites.google.com/ncmcs.org/blended/home,
Moore,Proctering/Testing Services,Inclusive,Website,,https://ca.ncmcs.org/blend__ed/6-12,
Moore,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://ca.ncmcs.org/blend__ed/6-12,
Moore,Sports,Inclusive,Website,,https://ca.ncmcs.org/blend__ed/6-12,
Moore,Extracurricular Activities,Inclusive,Website,,https://ca.ncmcs.org/blend__ed/6-12,
Moore,Driver's Education Course,Inclusive,Website,,https://ca.ncmcs.org/blend__ed/6-12,
Moore,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,9/11/2023,https://www.boardpolicyonline.com/bl/?b=moore&s=159773,
Moore,Sports,Inclusive,District Board Policy,9/11/2023,https://www.boardpolicyonline.com/bl/?b=moore&s=159773,
Mooresville graded,Other Special Needs Services,Inclusive,Website,,https://www.mgsd.k12.nc.us/52510_2,
Mooresville graded,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.mgsd.k12.nc.us/52510_2,
Mooresville graded,Sports,Inclusive,District Board Policy,1/21/2025,https://boardpolicyonline.com/?b=mooresville&s=160070,
Mooresville graded,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/21/2025,https://boardpolicyonline.com/?b=mooresville&s=160070,
Mount Airy City,Other Special Needs Services,Inclusive,Website,,https://www.mtairy.k12.nc.us/apps/pages/index.jsp?uREC_ID=671692&type=d&pREC_ID=1117520,
Mount Airy City,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.mtairy.k12.nc.us/apps/pages/index.jsp?uREC_ID=671692&type=d&pREC_ID=1117520,
Mount Airy City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.mtairy.k12.nc.us/apps/pages/homeschoolers,
Mount Airy City,Sports,Inclusive,Website,,https://www.mtairy.k12.nc.us/apps/pages/homeschoolers,
Mount Airy City,Extracurricular Activities,Inclusive,Website,,https://www.mtairy.k12.nc.us/apps/pages/homeschoolers,
Mount Airy City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Other,,https://docs.google.com/document/d/1Y1FvCpElkCgbJA6gkTlb_hnP04GoP7pzhvBAKU_vUng/edit?tab=t.0,
Mount Airy City,Sports,Inclusive,Other,,https://docs.google.com/document/d/1Y1FvCpElkCgbJA6gkTlb_hnP04GoP7pzhvBAKU_vUng/edit?tab=t.0,
Mount Airy City,Extracurricular Activities,Inclusive,Other,,https://docs.google.com/document/d/1Y1FvCpElkCgbJA6gkTlb_hnP04GoP7pzhvBAKU_vUng/edit?tab=t.0,
Mount Airy City,Other,Inclusive,District Board Policy,11/19/2024,https://www.boardpolicyonline.com/bl/?b=Mount_airy_city&s=948686,JROTC
Mount Airy City,Sports,Inclusive,District Board Policy,5/20/2025,https://www.boardpolicyonline.com/bl/?b=Mount_airy_city&s=948675,They have not accepted a clear policy and still have the boilerplate options present.
Mount Airy City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,5/20/2025,https://www.boardpolicyonline.com/bl/?b=Mount_airy_city&s=948675,They have not accepted a clear policy and still have the boilerplate options present.
Nash,Other,Inclusive,District Board Policy,12/5/2024,https://boardpolicyonline.com/?b=nash_county&s=160464,JROTC
Nash,Sports,Inclusive,District Board Policy,12/5/2024,https://boardpolicyonline.com/?b=nash_county&s=160445,
New Hanover,Driver's Education Course,Inclusive,Website,,https://sites.google.com/a/nhcs.net/kylehodnett/home/driver-education,
New Hanover,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/4/2022,https://www.boardpolicyonline.com/bl/?b=hanover_county_new&s=1180887,only middle and high school
New Hanover,Other,Inclusive,District Board Policy,11/12/2024,https://www.boardpolicyonline.com/bl/?b=hanover_county_new&s=1028686,
Newton-Conover City,Other,Inclusive,District Board Policy,11/16/2024,https://boardpolicyonline.com/bl/?b=newton_conover&s=160853,JROTC
Newton-Conover City,Sports,Inclusive,District Board Policy,7/14/2025,https://boardpolicyonline.com/bl/?b=newton_conover&s=160835,
Newton-Conover City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/14/2025,https://boardpolicyonline.com/bl/?b=newton_conover&s=160835,
Northampton,Driver's Education Course,Inclusive,District Board Policy,,https://ncdrivingschool.com/driver-education-for/#hs,
Northampton,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.northampton.k12.nc.us/departments/exceptional-children/employment-opportunities-clone,
Northampton,Other,Inclusive,District Board Policy,9/12/2022,https://www.boardpolicyonline.com/bl/?b=northampton_county&s=370586,JROTC
Northampton,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/10/2023,https://www.boardpolicyonline.com/bl/?b=northampton_county&s=370574,
Northampton,Sports,Inclusive,District Board Policy,7/10/2023,https://www.boardpolicyonline.com/bl/?b=northampton_county&s=370574,
Northampton,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/10/2023,https://www.boardpolicyonline.com/bl/?b=northampton_county&s=370574,
Northampton,Sports,Inclusive,District Board Policy,7/10/2023,https://www.boardpolicyonline.com/bl/?b=northampton_county&s=370574,
Onslow,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
