Source,Type,Status,Content,Policy Date,Link,Notes
Onslow,Driver's Education Course,Inclusive,Website,,https://www.onslow.k12.nc.us/departments/operations-facilities/operations-departments/school-transportation/drivers-education,
Onslow,Sports,Inclusive,Website,6/1/2023,https://www.onslow.k12.nc.us/families/athletics/home/home-school-student-intent-to-participate-in-hs-athletics,
Onslow,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,6/1/2023,https://www.onslow.k12.nc.us/families/athletics/home/home-school-student-intent-to-participate-in-hs-athletics,
Onslow,Other,Inclusive,District Board Policy,3/7/2023,https://boardpolicyonline.com/bl/?b=onslow&s=1066273,JROTC
Onslow,Sports,Inclusive,District Board Policy,11/1/2022,https://boardpolicyonline.com/bl/?b=onslow&s=1066262,
Onslow,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,11/1/2022,https://boardpolicyonline.com/bl/?b=onslow&s=1066262,
Orange,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/14/2022,https://www.boardpolicyonline.com/bl/?b=orange_county_nc&s=1506966,
Orange,Sports,Inclusive,Website,,https://www.orangecountyfirst.com/our-district-main/athletics-new,
Orange,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.orangecountyfirst.com/our-district-main/athletics-new,
Orange,Sports,Inclusive,District Board Policy,1/27/2025,https://www.boardpolicyonline.com/bl/?b=orange_county_nc&s=958345,
Pamlico,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Pamlico,Other,Inclusive,District Board Policy,6/28/2023,https://www.boardpolicyonline.com/bl/?b=pamlico_new&s=1543371,JROTC
Pender,Driver's Education Course,Inclusive,Website,,https://www.pender.k12.nc.us/page/driver-education,
Perquimans,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Perquimans,Other,Inclusive,District Board Policy,11/25/2024,https://boardpolicyonline.com/bl/?b=perquimans&s=161236,JROTC
Perquimans,Sports,Inclusive,District Board Policy,7/28/2025,https://boardpolicyonline.com/bl/?b=perquimans&s=161212,
Perquimans,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/28/2025,https://boardpolicyonline.com/bl/?b=perquimans&s=161212,
Person,Driver's Education Course,Inclusive,Website,,https://www.jdscarolinas.com/person-county-booking,
Person,Free or Reduced Price Meals,Inclusive,Website,,https://www.pcsnc.org/o/personcsva/page/nutrition-program,
Person,Sports,Inclusive,Other,9/23/2022,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3827/personcsva/3162388/PCSVA_Parent_Student_Handbook_2022-2023_rev_9.22.pdf,
Person,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Other,9/23/2022,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3827/personcsva/3162388/PCSVA_Parent_Student_Handbook_2022-2023_rev_9.22.pdf,
Person,Other,Inclusive,District Board Policy,11/14/2024,https://boardpolicyonline.com/?b=person&s=161643,JROTC
Person,Sports,Inclusive,District Board Policy,6/23/2025,https://boardpolicyonline.com/?b=person&s=161622,
Person,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/23/2025,https://boardpolicyonline.com/?b=person&s=161622,
Pitt,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Pitt,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Pitt,Other Special Needs Services,Inclusive,Website,,https://www.pitt.k12.nc.us/Page/5358,
Pitt,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.pitt.k12.nc.us/Page/5358,
Pitt,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.pitt.k12.nc.us/site/Default.aspx?PageID=7881,
Pitt,Sports,Inclusive,Other,,https://www.pitt.k12.nc.us/cms/lib/NC01001178/Centricity/Domain/2870/Home%20School%20Participation%20Rules.pdf,
Pitt,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Other,,https://www.pitt.k12.nc.us/cms/lib/NC01001178/Centricity/Domain/2870/Home%20School%20Participation%20Rules.pdf,
Pitt,Other,Inclusive,District Board Policy,9/14/2020,https://www.boardpolicyonline.com/bl/?b=pitt_co&s=1568416,JROTC
Polk,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Polk,Sports,Inclusive,District Board Policy,,https://boardpolicyonline.com/?b=polk_county&s=173432,no adopted date
Polk,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,,https://boardpolicyonline.com/?b=polk_county&s=173432,no adopted date
Public Schools of Robeson County,Driver's Education Course,Inclusive,Other,,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1545170/Driver_s_Ed_Application.pdf,
Public Schools of Robeson County,Other,Inclusive,District Board Policy,12/10/2024,https://boardpolicyonline.com/?b=robeson&s=179966,JROTC
Public Schools of Robeson County,Sports,Inclusive,District Board Policy,8/12/2025,https://boardpolicyonline.com/?b=robeson&s=179949,
Public Schools of Robeson County,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/12/2025,https://boardpolicyonline.com/?b=robeson&s=179949,
Randolph,Driver's Education Course,Inclusive,Other,,https://docs.google.com/document/d/e/2PACX-1vQ7zFI4pktZMNjo2UKq8JaM7yux5WDRIJw1yqr15MiS3SkqD5obAbji61Ah-vD4vMqFCNJSziS7wOKx/pub,
Randolph,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/15/2024,https://boardpolicyonline.com/?b=randolph&s=175016,only middle and high school
Richmond,Other,Inclusive,District Board Policy,2/11/2025,https://www.boardpolicyonline.com/bl/?b=richmond&s=1333080,JROTC
Richmond,Sports,Inclusive,District Board Policy,4/8/2025,https://www.boardpolicyonline.com/bl/?b=richmond&s=1333065,
Richmond,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,4/8/2025,https://www.boardpolicyonline.com/bl/?b=richmond&s=1333065,
Roanoke Rapids City,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Roanoke Rapids City,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Roanoke Rapids City,Other Special Needs Services,Inclusive,Website,,https://www.rrgsd.org/page/ec-department-private-schools-homeschool,
Roanoke Rapids City,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.rrgsd.org/page/ec-department-private-schools-homeschool,
Roanoke Rapids City,Other,Inclusive,District Board Policy,11/12/2024,https://boardpolicyonline.com/?b=roanoke&s=179578,JROTC
Roanoke Rapids City,Sports,Inclusive,District Board Policy,5/20/2025,https://boardpolicyonline.com/?b=roanoke&s=179562,
Rockingham,Driver's Education Course,Inclusive,Website,,https://www.rock.k12.nc.us/page/drivers-education,
Rockingham,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.rock.k12.nc.us/page/exceptional-children-ec,
Rockingham,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/8/2024,https://boardpolicyonline.com/?b=rock&s=766316,
Rockingham,Other,Inclusive,District Board Policy,3/17/2025,https://boardpolicyonline.com/?b=rock&s=180392,JROTC
Rockingham,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,4/11/2025,https://boardpolicyonline.com/?b=rock&s=180347,
Rockingham,Sports,Inclusive,District Board Policy,4/11/2025,https://boardpolicyonline.com/?b=rock&s=180347,
Rowan-Salisbury,Driver's Education Course,Inclusive,Website,,https://www.rssed.org/111562_3,
Rowan-Salisbury,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.rssed.org/36964_4,
Rowan-Salisbury,Sports,Inclusive,District Board Policy,6/27/2024,https://boardpolicyonline.com/bl/?b=rowan_salisbury_new&s=180735,
Rowan-Salisbury,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/27/2024,https://boardpolicyonline.com/bl/?b=rowan_salisbury_new&s=180735,
Rutherford,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Rutherford,Driver's Education Course,Inclusive,Website,,https://chs.rcsnc.org/apps/pages/index.jsp?uREC_ID=1642624&type=d&pREC_ID=1785763,
Rutherford,Sports,Inclusive,District Board Policy,6/30/2025,https://boardpolicyonline.com/bl/?b=rutherford&s=181738,
Rutherford,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/30/2025,https://boardpolicyonline.com/bl/?b=rutherford&s=181738,
Rutherford,Sports,Inclusive,District Board Policy,6/26/2018,https://boardpolicyonline.com/bl/?b=rutherford&s=181764,
Rutherford,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/26/2018,https://boardpolicyonline.com/bl/?b=rutherford&s=181764,
Sampson,Driver's Education Course,Inclusive,Website,,https://www.sampson.k12.nc.us/page/driver-education-schedule-registration,
Sampson,Other,Inclusive,District Board Policy,1/27/2025,https://boardpolicyonline.com/?b=sampson&s=181031,JROTC
Sampson,Sports,Inclusive,District Board Policy,6/24/2025,https://boardpolicyonline.com/?b=sampson&s=181011,
Scotland,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/14/2008,https://boardpolicyonline.com/bl/?b=scotland_county&s=175513,
Scotland,Sports,Inclusive,District Board Policy,3/31/2025,https://boardpolicyonline.com/bl/?b=scotland_county&s=175485,
Scotland,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,3/31/2025,https://boardpolicyonline.com/bl/?b=scotland_county&s=175485,
Stanly,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Stanly,Driver's Education Course,Inclusive,Website,,https://www.stanlycountyschools.org/apps/pages/index.jsp?uREC_ID=1226436&type=d&pREC_ID=2107245,
Stanly,Other,Inclusive,District Board Policy,1/4/2022,https://boardpolicyonline.com/bl/?b=stanly_new&s=756874,JROTC
Stanly,Sports,Inclusive,District Board Policy,1/17/2023,https://boardpolicyonline.com/bl/?b=stanly_new&s=1127426,
Stanly,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,1/17/2023,https://boardpolicyonline.com/bl/?b=stanly_new&s=1127426,
Stokes,Other,Inclusive,District Board Policy,8/8/2022,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4467/SCS/3844134/4120_DOMICILE_OR_RESIDENCE_REQUIREMENTS.pdf,JROTC
Stokes,Sports,Inclusive,District Board Policy,6/19/2023,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4467/SCS/3844096/3620_12-30-24.pdf,
Stokes,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/19/2023,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4467/SCS/3844096/3620_12-30-24.pdf,
Surry,Other Special Needs Services,Inclusive,Website,,https://www.surry.k12.nc.us/page/exceptional-children,
Surry,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.surry.k12.nc.us/page/exceptional-children,
Surry,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.surry.k12.nc.us/o/soms/page/our-school,
Surry,Other,Inclusive,District Board Policy,1/22/2025,https://go.boarddocs.com/nc/surrync/Board.nsf/goto?open&id=CK5JLC4CCC2D,JROTC
Surry,Proctering/Testing Services,Inclusive,Website,,https://www.surry.k12.nc.us/page/homeschool-partnership,JROTC
Surry,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.surry.k12.nc.us/page/homeschool-partnership,JROTC
Surry,Sports,Inclusive,Website,,https://www.surry.k12.nc.us/page/homeschool-partnership,JROTC
Surry,Extracurricular Activities,Inclusive,Website,,https://www.surry.k12.nc.us/page/homeschool-partnership,JROTC
Surry,Driver's Education Course,Inclusive,Website,,https://www.surry.k12.nc.us/page/homeschool-partnership,JROTC
Surry,Other,Inclusive,Website,,https://www.surry.k12.nc.us/page/homeschool-partnership,JROTC
Surry,Sports,Inclusive,District Board Policy,7/10/2025,https://go.boarddocs.com/nc/surrync/Board.nsf/goto?open&id=CQLJE44C8DD4,
Surry,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/10/2025,https://go.boarddocs.com/nc/surrync/Board.nsf/goto?open&id=CQLJE44C8DD4,
Swain,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Swain,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/17/2023,https://boardpolicyonline.com/bl/?b=swain&s=1548128,
Swain,Sports,Inclusive,District Board Policy,5/12/2025,https://boardpolicyonline.com/bl/?b=swain&s=184053,
Swain,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,5/12/2025,https://boardpolicyonline.com/bl/?b=swain&s=184053,
Thomasville City,Other,Inclusive,District Board Policy,12/10/2024,https://www.boardpolicyonline.com/bl/?b=thomasville&s=184807,JROTC
Thomasville City,Other,Inclusive,District Board Policy,6/3/2025,https://www.boardpolicyonline.com/bl/?b=thomasville&s=184771,Inclusion of grade scores from homeschool
Thomasville City,Sports,Inclusive,District Board Policy,6/3/2025,https://www.boardpolicyonline.com/bl/?b=thomasville&s=184789,
Thomasville City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/3/2025,https://www.boardpolicyonline.com/bl/?b=thomasville&s=184789,
Transylvania,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Transylvania,Driver's Education Course,Inclusive,Website,,https://www.mtnpro.com/school-classes,
Transylvania,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,3/19/2018,https://boardpolicyonline.com/?b=trans&s=368936,
Transylvania,Other,Inclusive,District Board Policy,6/16/2025,https://boardpolicyonline.com/?b=trans&s=198254,JROTC
Transylvania,Sports,Inclusive,District Board Policy,6/16/2025,https://boardpolicyonline.com/?b=trans&s=185719,
Transylvania,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/16/2025,https://boardpolicyonline.com/?b=trans&s=185719,
Tyrrell,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Tyrrell,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.tyrrell.k12.nc.us/apps/pages/index.jsp?uREC_ID=3923001&type=d&pREC_ID=1684366,
Tyrrell,Other,Inclusive,District Board Policy,7/11/2022,https://boardpolicyonline.com/?b=tyrrell&s=200605,JROTC
Tyrrell,Sports,Inclusive,District Board Policy,5/6/2025,https://boardpolicyonline.com/?b=tyrrell&s=200594,
Union,Driver's Education Course,Inclusive,Website,,https://www.ucps.k12.nc.us/Page/10998,
Union,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.ucps.k12.nc.us/Page/4645,
Union,Other,Inclusive,District Board Policy,7/12/2022,https://go.boarddocs.com/nc/ucps/Board.nsf/goto?open&id=CK4UKH7C6FF3,JROTC
Union,Other,Inclusive,Website,,https://www.ucps.k12.nc.us/domain/2354,JROTC
Vance,Extracurricular Activities,Inclusive,Website,,https://www.vcs.k12.nc.us/community/homeschool-information,
Vance,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://www.vcs.k12.nc.us/community/homeschool-information,
Vance,Other,Inclusive,District Board Policy,3/10/2025,https://boardpolicyonline.com/?b=vance_new&s=186169,JROTC
Vance,Other Special Needs Services,Inclusive,Website,,https://www.vcs.k12.nc.us/community/homeschool-information,
Vance,Sports,Inclusive,District Board Policy,6/9/2025,https://boardpolicyonline.com/?b=vance_new&s=186152,
Vance,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/9/2025,https://boardpolicyonline.com/?b=vance_new&s=186152,
Wake,Eligibility Determination/IEP/504 Evaluation,Inclusive,Website,,https://www.wcpss.net/Page/19079,
Warren,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Warren,Other,Inclusive,District Board Policy,1/14/2025,https://boardpolicyonline.com/bl/?b=warren&s=186778,JROTC
Warren,Sports,Inclusive,District Board Policy,6/10/2025,https://boardpolicyonline.com/bl/?b=warren&s=186760,
Warren,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/10/2025,https://boardpolicyonline.com/bl/?b=warren&s=186760,
Washington,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Washington,Other,Inclusive,District Board Policy,1/14/2025,https://boardpolicyonline.com/?b=washington&s=187536,JROTC
Washington,Sports,Inclusive,District Board Policy,6/30/2025,https://boardpolicyonline.com/?b=washington&s=187517,
Watauga,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Watauga,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://docs.google.com/document/d/19rkW18XnYiHApXzfzjSLttlzBHFIx9a1jEa8lPGfgFs/edit?usp=sharing,
Watauga,K-12 Dual Enrollment inCore Academic Classes,Inclusive,Website,,https://sites.google.com/wataugaschools.org/whsstudentservices/home/cross-enrollment?authuser=0,
Watauga,Other,Inclusive,District Board Policy,11/12/2024,https://resources.finalsite.net/images/v1731451144/wataugaschoolsorg/qeb1zgvlhpugyz8kcxzy/4120DomicileorResidenceRequirementsUpdated111224.pdf,JROTC
Watauga,Sports,Inclusive,District Board Policy,11/12/2024,https://www.wataugaschools.org/fs/resource-manager/view/99b71ed6-7ebc-4a79-ba86-52da3669e3bd,
Watauga,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,11/12/2024,https://www.wataugaschools.org/fs/resource-manager/view/99b71ed6-7ebc-4a79-ba86-52da3669e3bd,
Wayne,Driver's Education Course,Inclusive,Website,1/7/2025,https://www.waynecountyschools.org/o/charlesbaycockhigh/article/1949597,
Wayne,Other,Inclusive,District Board Policy,3/19/2025,https://boardpolicyonline.com/?b=wayne_county&s=187920,JROTC
Wayne,Sports,Inclusive,District Board Policy,7/7/2025,https://boardpolicyonline.com/?b=wayne_county&s=187898,
Wayne,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,7/7/2025,https://boardpolicyonline.com/?b=wayne_county&s=187898,
Weldon City,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Weldon City,Other,Inclusive,District Board Policy,8/19/2025,https://boardpolicyonline.com/?b=weldon&s=188369,JROTC
Weldon City,Sports,Inclusive,District Board Policy,8/19/2025,https://boardpolicyonline.com/?b=weldon&s=188351,
Weldon City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,8/19/2025,https://boardpolicyonline.com/?b=weldon&s=188351,
Whiteville City,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Whiteville City,Other,Inclusive,District Board Policy,6/22/2022,https://drive.google.com/drive/folders/0B8faN2KxbAxkZUlRQzRSTGFhUkU?resourcekey=0-ztNCH67q2uNux5t0hPL5UQ,4120 Domicile - JROTC
Whiteville City,Sports,Inclusive,District Board Policy,5/12/2025,https://drive.google.com/drive/folders/0B8faN2KxbAxkanowOUh6dERYdXM?resourcekey=0-P0LwyLvlHIyoo_qi1X_wqw,3620 Extracurricular Activities. They have not accepted a clear policy and still have the boilerplate options present.
Whiteville City,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,5/12/2025,https://drive.google.com/drive/folders/0B8faN2KxbAxkanowOUh6dERYdXM?resourcekey=0-P0LwyLvlHIyoo_qi1X_wqw,3620 Extracurricular Activities. They have not accepted a clear policy and still have the boilerplate options present.
Wilkes,Driver's Education Course,Inclusive,District Board Policy,6/21/2024,https://www.wilkescountyschools.org/apps/pages/index.jsp?uREC_ID=1030025&type=d&pREC_ID=1333752,
Wilkes,Sports,Inclusive,District Board Policy,12/2/2019,https://www.wilkescountyschools.org/apps/pages/index.jsp?uREC_ID=1030025&type=d&pREC_ID=1813524,
Wilkes,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,12/2/2019,https://www.wilkescountyschools.org/apps/pages/index.jsp?uREC_ID=1030025&type=d&pREC_ID=1813524,
Wilson,Other,Inclusive,District Board Policy,12/13/2021,https://boardpolicyonline.com/bl/?b=wilson_new&s=907214,JROTC
Wilson,Sports,Inclusive,District Board Policy,6/9/2025,https://boardpolicyonline.com/bl/?b=wilson_new&s=802774,
Wilson,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/9/2025,https://boardpolicyonline.com/bl/?b=wilson_new&s=802774,
Winston Salem & Forsyth County,Driver's Education Course,Inclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Winston Salem & Forsyth County,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,12/1/2024,https://www.boardpolicyonline.com/bl/?b=forsyth&s=190961,
Yadkin,Driver's Education Course,Inclusive,Website,,https://www.yadkin.k12.nc.us/page/drivers-education,
Yadkin,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,12/4/2017,https://go.boarddocs.com/nc/yadkin/Board.nsf/goto?open&id=AZYTTZ7931CF,
Yadkin,Other,Inclusive,District Board Policy,12/2/2024,https://go.boarddocs.com/nc/yadkin/Board.nsf/goto?open&id=DAJPYX66F78E,JROTC
Yadkin,Sports,Inclusive,District Board Policy,6/30/2025,https://go.boarddocs.com/nc/yadkin/Board.nsf/goto?open&id=DJPNYF6234F6,
Yadkin,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,6/30/2025,https://go.boarddocs.com/nc/yadkin/Board.nsf/goto?open&id=DJPNYF6234F6,
Yancey,Driver's Education Course,Inclusive,Other,,https://wresa.org/drivers-education-registration/,
Yancey,Other,Inclusive,District Board Policy,,https://docs.google.com/document/d/0ByiYdWbdxMg8NmRueHhLN2FMcGM/edit?usp=sharing&ouid=101119868691209483437&resourcekey=0-MUJ93yUNRWdipxM8sEBwtg&rtpof=true&sd=true,JROTC (doc is not accessible)
Yancey,Extracurricular Activities,Inclusive,District Board Policy,10/21/2024,https://docs.google.com/document/d/1U651-UCqC-CmvDsuaGXARthiHfcHwQWF41oJfyoq6t4/edit?usp=sharing,
Yancey,Sports,Inclusive,District Board Policy,10/21/2024,https://docs.google.com/document/d/1U651-UCqC-CmvDsuaGXARthiHfcHwQWF41oJfyoq6t4/edit?usp=sharing,
Yancey,K-12 Dual Enrollment inCore Academic Classes,Inclusive,District Board Policy,10/21/2024,https://docs.google.com/document/d/1U651-UCqC-CmvDsuaGXARthiHfcHwQWF41oJfyoq6t4/edit?usp=sharing,
Federal,Other,Inclusive,Other,3/14/2024,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/120513p.pdf#page=14.72,JROTC
State,Free or Reduced Price Meals,Inclusive,Website,,https://www.ncdhhs.gov/sunbucks#DoesmychildqualifyforSUNBucks-5657,
Federal,Eligibility Determination/IEP/504 Evaluation,Inclusive,Other,,https://sites.ed.gov/idea/files/rts-qa-child-find-part-b-08-24-2021.pdf,
Federal,Other,Inclusive,Website,,https://www.congress.gov/bill/119th-congress/house-bill/1/text,Funding
Federal,Other,Inclusive,Website,,https://www.dodea.edu/non-dod-schools/home-study-virtual-education#reimbursement,Funding
Federal,Other,Inclusive,Website,,https://allowances.state.gov/default.asp,Funding
State,Driver's Education Course,Inclusive,Other,,https://www.ncleg.net/enactedlegislation/statutes/html/bysection/chapter_20/gs_20-11.html,
State,Sports,Inclusive,Other,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=10399&revid=SHJJPSHi0slshvt629V9aZfaQ%3d%3d&ptid=muNUlKiR2jsXcslsh28JpBkiw%3d%3d&secid=pbtslshMlhL0a2Hzs2JBV9yHA%3d%3d&isPndg=&PG=6,
State,Proctering/Testing Services,Inclusive,Other,,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H259v6.pdf,
State,Sports,Inclusive,Other,,https://www.nchsaa.org/handbook/,
State,Driver's Education Course,Inclusive,Other,,https://www.ncleg.gov/EnactedLegislation/Statutes/PDF/BySection/Chapter_115c/GS_115C-215.pdf,
State,Other,Inclusive,Website,,https://k12.ncseaa.edu/the-education-student-accounts/current-families/home-school-families/,Funding
State,Other Special Needs Services,Inclusive,Website,,https://k12.ncseaa.edu/the-education-student-accounts/current-families/home-school-families/,Funding